protein_names,idr_name,start,end
YAL001C,YAL001C_idr_2,267,322
YAL001C,YAL001C_idr_3,415,555
YAL001C,YAL001C_idr_5,631,738
YAL002W,YAL002W_idr_1,1,64
YAL009W,YAL009W_idr_1,1,43
YAL010C,YAL010C_idr_2,321,401
YAL011W,YAL011W_idr_1,1,62
YAL011W,YAL011W_idr_3,180,449
YAL011W,YAL011W_idr_4,496,535
YAL013W,YAL013W_idr_1,1,174
YAL014C,YAL014C_idr_2,89,123
YAL015C,YAL015C_idr_1,1,48
YAL015C,YAL015C_idr_4,365,399
YAL016W,YAL016W_idr_1,1,33
YAL017W,YAL017W_idr_1,1,143
YAL017W,YAL017W_idr_7,879,1088
YAL017W,YAL017W_idr_9,170,384
YAL017W,YAL017W_idr_11,409,449
YAL019W,YAL019W_idr_1,1,79
YAL019W,YAL019W_idr_4,109,277
YAL019W,YAL019W_idr_5,317,351
YAL019W,YAL019W_idr_8,373,559
YAL021C,YAL021C_idr_1,1,30
YAL021C,YAL021C_idr_4,103,138
YAL021C,YAL021C_idr_5,191,233
YAL022C,YAL022C_idr_1,1,66
YAL022C,YAL022C_idr_3,286,326
YAL023C,YAL023C_idr_1,1,58
YAL024C,YAL024C_idr_3,198,302
YAL024C,YAL024C_idr_5,307,371
YAL024C,YAL024C_idr_8,465,1054
YAL024C,YAL024C_idr_9,1068,1184
YAL025C,YAL025C_idr_3,226,306
YAL026C,YAL026C_idr_1,1,173
YAL026C,YAL026C_idr_5,1243,1355
YAL028W,YAL028W_idr_1,1,56
YAL028W,YAL028W_idr_5,75,351
YAL029C,YAL029C_idr_9,928,1112
YAL031C,YAL031C_idr_2,412,676
YAL031C,YAL031C_idr_3,692,760
YAL032C,YAL032C_idr_2,344,379
YAL032C,YAL032C_idr_6,121,157
YAL032C,YAL032C_idr_8,241,281
YAL034C,YAL034C_idr_2,37,126
YAL034C,YAL034C_idr_4,228,286
YAL035W,YAL035W_idr_1,1,191
YAL035W,YAL035W_idr_4,203,398
YAL039C,YAL039C_idr_1,1,70
YAL040C,YAL040C_idr_1,1,46
YAL040C,YAL040C_idr_3,398,580
YAL041W,YAL041W_idr_1,1,36
YAL041W,YAL041W_idr_7,75,137
YAL041W,YAL041W_idr_8,245,274
YAL041W,YAL041W_idr_13,638,761
YAL043C,YAL043C_idr_2,333,421
YAL043C,YAL043C_idr_7,484,572
YAL044C,YAL044C_idr_1,1,31
YAL046C,YAL046C_idr_1,1,33
YAL047C,YAL047C_idr_3,7,39
YAL047C,YAL047C_idr_6,218,281
YAL048C,YAL048C_idr_4,616,662
YAL051W,YAL051W_idr_1,1,61
YAL051W,YAL051W_idr_7,888,1025
YAL051W,YAL051W_idr_10,109,183
YAL053W,YAL053W_idr_1,1,31
YAL053W,YAL053W_idr_6,657,783
YAL054C,YAL054C_idr_1,1,47
YAL056W,YAL056W_idr_10,456,494
YAL056W,YAL056W_idr_11,606,685
YAL058W,YAL058W_idr_2,252,283
YAL059W,YAL059W_idr_3,168,212
YAL061W,YAL061W_idr_2,387,417
YAR002W,YAR002W_idr_2,48,119
YAR002W,YAR002W_idr_4,149,530
YAR007C,YAR007C_idr_2,120,179
YAR008W,YAR008W_idr_1,107,137
YAR014C,YAR014C_idr_3,172,257
YAR014C,YAR014C_idr_4,330,372
YAR014C,YAR014C_idr_7,386,455
YAR014C,YAR014C_idr_9,461,513
YAR014C,YAR014C_idr_11,520,680
YAR014C,YAR014C_idr_20,132,161
YAR018C,YAR018C_idr_3,362,435
YAR019C,YAR019C_idr_2,287,382
YAR019C,YAR019C_idr_3,553,604
YAR019C,YAR019C_idr_6,931,968
YAR042W,YAR042W_idr_5,627,797
YAR042W,YAR042W_idr_13,240,280
YAR042W,YAR042W_idr_14,384,559
YAR042W,YAR042W_idr_15,561,593
YBL002W,YBL002W_idr_1,1,36
YBL004W,YBL004W_idr_27,1823,1862
YBL004W,YBL004W_idr_32,2437,2493
YBL004W,YBL004W_idr_38,711,763
YBL005W,YBL005W_idr_2,49,194
YBL005W,YBL005W_idr_7,852,936
YBL007C,YBL007C_idr_4,537,653
YBL007C,YBL007C_idr_5,715,1244
YBL007C,YBL007C_idr_7,133,254
YBL007C,YBL007C_idr_13,415,497
YBL008W,YBL008W_idr_1,430,479
YBL008W,YBL008W_idr_4,513,554
YBL009W,YBL009W_idr_2,24,369
YBL010C,YBL010C_idr_1,1,42
YBL011W,YBL011W_idr_1,1,36
YBL011W,YBL011W_idr_2,607,668
YBL011W,YBL011W_idr_3,683,759
YBL014C,YBL014C_idr_2,557,610
YBL014C,YBL014C_idr_5,779,894
YBL014C,YBL014C_idr_10,71,100
YBL017C,YBL017C_idr_4,1477,1579
YBL019W,YBL019W_idr_5,395,490
YBL020W,YBL020W_idr_1,1,33
YBL021C,YBL021C_idr_1,1,35
YBL022C,YBL022C_idr_1,1,173
YBL022C,YBL022C_idr_3,843,891
YBL023C,YBL023C_idr_1,1,81
YBL023C,YBL023C_idr_3,117,189
YBL023C,YBL023C_idr_8,708,751
YBL024W,YBL024W_idr_2,415,453
YBL024W,YBL024W_idr_3,651,684
YBL029W,YBL029W_idr_3,233,263
YBL031W,YBL031W_idr_8,212,269
YBL031W,YBL031W_idr_9,288,338
YBL032W,YBL032W_idr_1,1,40
YBL032W,YBL032W_idr_2,121,151
YBL032W,YBL032W_idr_3,337,381
YBL034C,YBL034C_idr_5,975,1223
YBL034C,YBL034C_idr_10,232,315
YBL034C,YBL034C_idr_14,557,792
YBL035C,YBL035C_idr_2,75,198
YBL037W,YBL037W_idr_4,669,759
YBL042C,YBL042C_idr_1,1,65
YBL043W,YBL043W_idr_4,88,135
YBL046W,YBL046W_idr_5,188,441
YBL047C,YBL047C_idr_2,361,655
YBL047C,YBL047C_idr_8,713,753
YBL047C,YBL047C_idr_11,776,1284
YBL047C,YBL047C_idr_12,86,124
YBL047C,YBL047C_idr_13,1296,1341
YBL047C,YBL047C_idr_20,221,265
YBL051C,YBL051C_idr_1,1,80
YBL051C,YBL051C_idr_2,168,296
YBL051C,YBL051C_idr_4,364,604
YBL051C,YBL051C_idr_8,618,668
YBL052C,YBL052C_idr_2,579,831
YBL052C,YBL052C_idr_4,29,111
YBL052C,YBL052C_idr_5,135,165
YBL052C,YBL052C_idr_9,214,263
YBL054W,YBL054W_idr_1,1,71
YBL054W,YBL054W_idr_2,147,393
YBL055C,YBL055C_idr_1,1,31
YBL056W,YBL056W_idr_2,307,468
YBL057C,YBL057C_idr_2,34,77
YBL058W,YBL058W_idr_2,48,144
YBL058W,YBL058W_idr_7,303,344
YBL060W,YBL060W_idr_1,1,93
YBL060W,YBL060W_idr_5,273,321
YBL060W,YBL060W_idr_9,373,420
YBL061C,YBL061C_idr_2,29,168
YBL063W,YBL063W_idr_1,1,48
YBL063W,YBL063W_idr_2,448,507
